,pdb,comp_id,link,provenance_code,type,unit,value
87,2RIN,ACH,http://www.bindingmoad.org/pdbrecords/index/2rin,Binding MOAD,Kd,nM,145000.0
88,2RIN,ACH,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=2rin,PDBBind,Kd,nM,100000.0
89,4I6Q,1DT,http://www.bindingmoad.org/pdbrecords/index/4i6q,Binding MOAD,IC50,nM,30.0
90,4I6Q,1DT,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=4i6q,PDBBind,IC50,nM,30.0
91,4I6Q,1DT,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4I6Q,BindingDB,IC50,nM,30.0
92,4OYI,1VK,http://www.bindingmoad.org/pdbrecords/index/4oyi,Binding MOAD,IC50,nM,19000.0
93,5F6W,5VL,http://www.bindingmoad.org/pdbrecords/index/5f6w,Binding MOAD,IC50,nM,5800000.0
94,3CHC,ZRG,http://www.bindingmoad.org/pdbrecords/index/3chc,Binding MOAD,Ki,nM,81000.0
95,3CHC,ZRG,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=3chc,PDBBind,IC50,nM,81000.0
96,5F25,5TU,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5F25,BindingDB,IC50,nM,9338.0
97,5F25,5TU,http://www.bindingmoad.org/pdbrecords/index/5f25,Binding MOAD,Kd,nM,9100.0
98,5F25,5TU,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5F25,BindingDB,Kd,nM,9100.0
99,3ODG,,,,,,
100,1QY2,IPZ,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=1QY2,BindingDB,-T&Delta;S,kJ/mol,17.90999984741211
101,1QY2,IPZ,http://www.bindingmoad.org/pdbrecords/index/1qy2,Binding MOAD,Kd,nM,1800.0
102,1QY2,IPZ,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=1qy2,PDBBind,Kd,nM,1800.0
103,1QY2,IPZ,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=1QY2,BindingDB,&Delta;G,kJ/mol,23.100000381469727
104,1QY2,IPZ,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=1QY2,BindingDB,-T&Delta;S,kJ/mol,10.65999984741211
105,1QY2,IPZ,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=1QY2,BindingDB,-T&Delta;S,kJ/mol,17.100000381469727
106,1QY2,IPZ,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=1QY2,BindingDB,&Delta;G,kJ/mol,33.900001525878906
107,1QY2,IPZ,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=1QY2,BindingDB,&Delta;G,kJ/mol,17.200000762939453
108,3EBO,57D,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=3ebo,PDBBind,Ki,nM,19010.0
109,5E9I,,,,,,
110,4QNA,X11,http://www.bindingmoad.org/pdbrecords/index/4qna,Binding MOAD,IC50,nM,23.0
111,3GKZ,B40,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=3gkz,PDBBind,Kd,nM,10.0
112,3GKZ,B40,http://www.bindingmoad.org/pdbrecords/index/3gkz,Binding MOAD,Kd,nM,10.0
113,4YPX,4FG,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4YPX,BindingDB,IC50,nM,25119.0
114,5FRV,,,,,,
115,4ZSI,,,,,,
116,4H9G,,,,,,
117,4MRH,2CQ,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4MRH,BindingDB,Kd,nM,5400000.0
118,4MRH,2CQ,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=4MRH,BindingDB,Kd,nM,12600000.0
119,4MRH,2CQ,http://www.bindingmoad.org/pdbrecords/index/4mrh,Binding MOAD,Kd,nM,12600000.0
120,2W6P,OA4,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=2w6p,PDBBind,IC50,nM,333.0
121,2W6P,OA4,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=2W6P,BindingDB,IC50,nM,333.0
122,2W6P,OA4,http://www.bindingmoad.org/pdbrecords/index/2w6p,Binding MOAD,IC50,nM,333.0
123,4EKP,,,,,,
124,4CCW,,,,,,
125,4RLQ,,,,,,
126,5D7X,XZ8,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5D7X,BindingDB,Kd,nM,15000.0
127,5D7X,XZ8,http://www.bindingmoad.org/pdbrecords/index/5d7x,Binding MOAD,Kd,nM,15000.0
128,2DZA,,,,,,
129,2P9A,YE6,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=2P9A,BindingDB,IC50,nM,58000.0
130,2P9A,YE6,http://www.bindingmoad.org/pdbrecords/index/2p9a,Binding MOAD,IC50,nM,6560.0
131,2P9A,YE6,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=2P9A,BindingDB,IC50,nM,1160.0
132,2P9A,YE6,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=2P9A,BindingDB,IC50,nM,77100.0
133,2P9A,YE6,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=2p9a,PDBBind,IC50,nM,6560.0
134,2P9A,YE6,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=2P9A,BindingDB,IC50,nM,6560.0
135,2P9A,YE6,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=2P9A,BindingDB,IC50,nM,5780.0
136,2I5X,,,,,,
137,3UWK,0DF,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=3uwk,PDBBind,IC50,nM,58000.0
138,3UWK,0DF,http://www.bindingmoad.org/pdbrecords/index/3uwk,Binding MOAD,IC50,nM,58000.0
139,3IXL,,,,,,
140,4NQ8,,,,,,
141,4JYM,KKN,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=4jym,PDBBind,Kd,nM,9050.0
142,2YC3,MW5,http://www.bindingmoad.org/pdbrecords/index/2yc3,Binding MOAD,IC50,nM,140.0
143,2YC3,MW5,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=2yc3,PDBBind,IC50,nM,140.0
144,2WEI,VGG,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=2wei,PDBBind,IC50,nM,3.4000000953674316
145,2WEI,VGG,http://www.bindingmoad.org/pdbrecords/index/2wei,Binding MOAD,IC50,nM,3.4000000953674316
146,3R8P,,,,,,
147,3UZJ,0CT,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=3uzj,PDBBind,Ki,nM,2820.0
148,3GOC,,,,,,
149,3E62,5B1,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=3E62,BindingDB,IC50,nM,40900.0
150,3E62,5B1,http://www.bindingmoad.org/pdbrecords/index/3e62,Binding MOAD,IC50,nM,40900.0
